ROCK NAME,Density,Porosity,Vp(sonic wave),Point load strength index,UCS,Elastic Modulus,Brazilian tensile strenth,cohesion,friction,Poissons ratio,,link,
phyllitic quartzite (dry),2.69,0.48,3.65,,105.96,42.91,12.28,4.02,34.73,0.26,,https://www.researchgate.net/publication/317789765_Physico-mechanical_Behaviour_of_Metamorphic_Rocks_in_Rohtang_Tunnel_Himachal_Pradesh_India,
quartzitic phyllite (dry),2.73,0.49,3.99,,112.18,43.57,11.71,3.33,37.64,0.24,,,
Migmatic gneiss (dry),2.68,0.61,2.52,,46.36,15.05,6.06,2.99,38.88,0.24,,,
phyllitic quartzite (sat),2.7,0.48,4.23,,94.49,41.1,11.2,1.42,27.09,0.23,,,
quartzitic phyllite (sat),2.73,0.49,4.55,,83.26,43.28,9.56,1.69,28.39,0.3,,,
Migmatic gneiss (sat),2.69,0.61,3.28,,41.22,23.19,5.14,1.34,25.34,0.26,,,
quarzite Schist,2.63,0.81,,,190,20,,,,0.25,,https://www.researchgate.net/publication/339353357_Prediction_of_Anisotropic_Responses_of_Strength_and_Deformation_of_Scists?_sg%5B0%5D=24zR4AJ_zT0foxAeUx4uM4aA4SuVecBxq3Nfun515XJUQizHu83kkqVKHtTQ1BQKpjwklVftqVgOEDQ.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sg%5B1%5D=Ya8Rgd2Owv9llte3xdwW_SFKNqzIxJxSJWIPryJgIgUpW39-xTtuq9GWo12MUTjlIS-sMKsXbEr0vLK4alPhjpQyrsU.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sg%5B2%5D=8BnzVs-Jk2XnS-Y_GthI6JX6Opu2Ro3xvf89wTXWfKGciYuSN-2I4fNH5ikhzqKb7bUJzVAJGmEu6JiWhg.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sgd%5Bsr%5D=1&_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIiwicG9zaXRpb24iOiJwYWdlQ29udGVudCJ9fQ,
Chlorite Schist,2.88,0.26,,,110,12,,,,0.2,,,
Quartz metal Schist,2.72,1.7,,,50,40,,,,0.15,,,
Biotite Schist,2.74,0.76,,,50,50,,,,0.1,,,
Katra Sandstone,2.31,16.08,1.99,1.13,8.142,2.292,1.6,,,0.4,,https://www.researchgate.net/publication/325946513_Strength_behaviour_of_Middle_Siwalik_sandstone_under_uniaxial_and_triaxial_conditions?_sg%5B0%5D=24zR4AJ_zT0foxAeUx4uM4aA4SuVecBxq3Nfun515XJUQizHu83kkqVKHtTQ1BQKpjwklVftqVgOEDQ.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sg%5B1%5D=Ya8Rgd2Owv9llte3xdwW_SFKNqzIxJxSJWIPryJgIgUpW39-xTtuq9GWo12MUTjlIS-sMKsXbEr0vLK4alPhjpQyrsU.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sg%5B2%5D=8BnzVs-Jk2XnS-Y_GthI6JX6Opu2Ro3xvf89wTXWfKGciYuSN-2I4fNH5ikhzqKb7bUJzVAJGmEu6JiWhg.sXdYmLPfPe6_k_fgkBlDMT_1LC3LVLLSidZTRnnpZxd_WSKL_5UTI5ch0nZSrrijrrsGBssa_vlgOt0boduvyQ&_sgd%5Bsr%5D=1&_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIiwicG9zaXRpb24iOiJwYWdlQ29udGVudCJ9fQ,
W0,2.75,0.09,5.985,10.42,132.3,36.88,16.13,,,,,https://www.researchgate.net/publication/339353123_Engineering_Behaviour_and_Classification_of_Weathered_Rocks,
W1,2.69,1.46,3.691,7.9,101.7,19.46,14.47,,,,,,
W2,2.54,cv ,1.849,2.87,48.4,12.99,1.19,,,,,,
W4,1.97,21.92,0.178,0.16,2.64,0.36,0.97,,,,,,
Kota Sandstone,2.31,7.32,3.09,5.91,91.93,20.69,52.03,20.92,43.42,,,,
gemrani sandstone,2.48,5.55,2.83,3.57,72.89,27.39,37.4,11.16,37.79,,,,
singrouli sandstone,2.31,16.54,2.43,1.51,82.94,19.05,43.28,10.46,27.11,,,,
gingurda sandstone,1.67,24.41,1.9,0.51,47.91,14.7,21.24,3.68,21.34,,,,
granite,2.61,0.82,4.43,,160.37,70.11,5.42,,,,,https://link.springer.com/article/10.1007/s00603-021-02390-6,
granite,2.79,,4.593,,147.6,32.7,11,,,0.26,,https://www.sciencedirect.com/science/article/pii/S1359431118377081,
Basalt,2.168,4.118,4.566,,52.63,41.32,4.48,,,,,https://link.springer.com/article/10.1007/s10706-018-0551-6,
Basalt,2.658,4.072,5.079,,86.39,52.69,7.05,,,,,,
Basalt,2.685,4.08,5.439,,99.01,62.17,9.61,,,,,,
Basalt,2.638,4.096,4.759,,74.86,50.22,5.52,,,,,,
Gabbro,2.95,<0.5,6.56,,225,88,12,,,0.2,,https://link.springer.com/article/10.1007/s00024-010-0130-0,
Marble,2.72,0.15,7.5,,115,150,,,,,,https://www.sciencedirect.com/science/article/pii/S136516091830981X,Friction and cohesion are available
Hornfill HDR,2.85,2,5.529,4.13,99.22,80.89,3.97,,,,,https://link.springer.com/article/10.1007/s00603-016-0930-3,still values are available
Hornfill FDR,2.78,2.78,3.912,4,95.93,36.87,3.84,,,,,,
Hornfill SHR2,2.68,0.54,3.015,5.08,178.01,23.83,10.11,,,,,,
Hornfill PSK1,2.8,0.56,4.078,8.2,183.14,42.49,16.26,,,,,,
kota ph4,2.68,,6.66,3.47,84.9,2.54,9.76,,,0.23,,,
kota ph7,2.88,,7.15,3.96,96.1,2.78,10.66,,,0.27,,,
kotaph10,2.8,,6.95,3.76,93.55,2.68,9.24,,,0.25,,,
kota sandstoonr,2.588,,,1.91,39.64,1.53,,,,,,Data indian rock ankesh sir,
Dolpur sandstone,2.631,,,1.92,39.3,1.48,,,,,,,
limestonekota,2.66,,,2.21,45.9,1.72,,,,,,,
limestone himachal,2.63,,,2.43,51.21,2.62,,,,,,,
Dolomite himachal,2.73,,,1.88,38.59,3.75,,,,,,,
Quartzite,2.586,,,4.88,108.2,11.6,,,,,,,
Quartzite gneiss,2.615,,,3.65,76.71,10.21,,,,,,https://link.springer.com/article/10.1007/s10706-016-0114-7?utm_source=getftr&utm_medium=getftr&utm_campaign=getftr_pilot,
Phylitte jammu,2.758,,,2.87,63.25,14.58,,,,,,,
Mid research paper,2.7,,3.845,3.91,84.5,,,,,,,,
lime stone,2.68,,3.656,3.78,82.46,,,,,,,,
,2.63,,3.124,3.51,77.68,,,,,,,,
,2.6,,3.106,3.47,77.2,,,,,,,,
,2.58,,3.089,3.25,72.98,,,,,,,,
,2.54,,2.845,3.12,69.15,,,,,,,,
,2.51,,2.679,2.87,68.84,,,,,,,,
,2.5,,2.549,2.81,68.43,,,,,,,,
slate,2.81,,4.26,2.28,49.25,,,,,,,,
,2.78,,4.199,2.11,46.13,,,,,,,,
,2.75,,4.026,1.98,43.18,,,,,,,,
,2.72,,3.832,1.86,40.35,,,,,,,,
,2.68,,3.502,1.74,37.19,,,,,,,,
,2.65,,3.202,1.34,30.05,,,,,,,,
,2.64,,3.172,1.27,27.54,,,,,,,,
,2.64,,3.05,1.18,24.46,,,,,,,,
quarzite,2.7,,4.225,5.27,112.25,,,,,,,,
,2.69,,4.119,5.18,108.01,,,,,,,,
,2.68,,3.91,4.95,98.43,,,,,,,,
,2.65,,3.841,4.78,98.02,,,,,,,,
,2.65,,3.82,4.78,95.51,,,,,,,,
,2.64,,3.65,4.21,94.54,,,,,,,,
,2.63,,3.671,3.98,93.3,,,,,,,,
,2.63,,3.521,3.75,93.21,,,,,,,,
Quarz mica schist,2.69,,2.489,1.78,28.5,,,,,,,,
,2.68,,2.45,1.65,27.1,,,,,,,,
,2.66,,2.3,1.26,24.78,,,,,,,,
,2.66,,2.278,1.19,24.36,,,,,,,,
,2.65,,2.265,1.14,23.18,,,,,,,,
,2.63,,2.178,1.08,22.1,,,,,,,,
,2.62,,2.145,1.05,20.58,,,,,,,,
,2.62,,2.142,1.03,20.32,,,,,,,,